LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
109,15,4,URS,1,23/08/2015,Ursids                                  ,2010/13 ,267,271,271,219.9,75.4,0.05,-0.31,32.9,129.26,218.26,72.21,100.91,194.14,  M   1,4.87,0.94,0.807,205.6,270.1,52.6,62,0,0,8P/Tuttle                               ,The Machholz Complex                                                                                                                                  ,T   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
110,15,8,URS,1,16/11/2022,Ursids                                  , annual ,260.28,279.933,269.9,218.1,76.4,1.11,-0.32,33.2,126.13,216.23,71.71,100.69,194.93,       ,5.775,0.935,0.838,206.8,269.9,52.5,700,0,0,                                        ,                                                                                                                                                      ,T   ,015_URS.csv           ,"9) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
114,16,3,HYD,1,23/08/2015,sigma-Hydrids                           ,2010/13 ,188,275,266,134.4,-0.1,0.92,-0.28,58.9,136.9,230.9,-16.61,138.04,295.31,  M   1,9.08,0.257,0.985,119.5,76.5,128.7,528,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
115,16,5,HYD,1,01/05/2023,sigma-Hydrids                           , annual ,237.2,289.82,256.71,125.8,2.3,0.85,-0.27,59.1,127.58,230.87,-16.59,138.02,295.27,       ,24.9,0.258,0.99,119,76.7,129.2,1898,0,0,                                        ,                                                                                                                                                      ,T   ,016HYD_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
116,17,0,NTA,1,2002-mm-dd,Northern Taurids                        , annual ,       ,       ,226.2,58.6,21.6,0.8,0.16,28.3,61.02,194.82,1.26,104.81,268.69,       ,2.12,0.35,0.832,294.9,226.2,3.1,49,247,3,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,    ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2002ESASP.500..177P' target=_blank>Porubcan & Kornos, 2002</A>"
117,17,1,NTA,1,1970-mm-dd,Northern Taurids                        , annual ,       ,       ,212.7,44.71,19,0.92,0.06,30.69,47.75,195.05,1.95,105.04,267.98,R      ,2.2,0.284,0.871,302.3,212.78,2.89,25,247,3,                                        ,member of Taurid Complex (247)                                                                                                                        ,P   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak & Porubcan, 1970</A>"
120,17,4,NTA,1,2008-mm-dd,Northern Taurids                        ,2002/06 ,207,235,224.5,53.3,21,0.88,0.19,28.1,56.07,191.57,1.78,101.56,268.18,       ,2.06,0.354,0.8283,294.8,223.8,2.3,470,247,3,                                        ,member of Taurid complex (247)                                                                                                                        ,R   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
122,17,6,NTA,1,2010-mm-dd,Northern Taurids                        ,2002/08 ,217,241,219,48.9,17.7,0.84,0.25,28.1,51.22,192.22,-0.38,102.22,270.39,       ,2.06,0.3508,0.83,115.09,39.1,0.4,2281,247,3,2004  TG10                              ,member of Taurid Complex (247)                                                                                                                        ,R   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
123,17,7,NTA,1,23/08/2015,Northern Taurids                        ,2010/13 ,181,220,220,48.9,20.7,1.03,0.26,28,52.01,192.01,2.52,102,267.43,  M   1,2.13,0.355,0.829,294.6,220.6,3,509,247,3,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,T   ,LookUp table file name,"8] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
124,17,9,NTA,1,16/11/2022,Northern Taurids                        , annual ,200.131,224.989,218.8,49.7,20.7,0.87,0.23,29.1,52.73,193.93,2.32,103.92,267.61,       ,2.057,0.321,0.844,298.6,218.8,3,1188,247,0,                                        ,mean of solar longitude=200-225 degree                                                                                                                ,T   ,017_NTA1.csv          ,"10) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
125,17,10,NTA,1,16/11/2022,Northern Taurids                        , annual ,225.005,257.862,236.2,63.7,23.7,0.82,0.14,27.1,66.04,189.84,2.42,99.83,267.54,       ,2.142,0.396,0.815,289.6,236.2,2.7,2170,247,0,                                        ,mean of solar longitude=225-258 degree                                                                                                                ,T   ,017_NTA2.csv          ,"11) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
126,17,11,NTA,1,16/11/2022,Northern Taurids                        , annual ,258.183,269.841,263.9,87.4,26.4,1.07,0.02,23.8,87.67,183.77,2.98,93.76,267.01,       ,2.186,0.51,0.767,276.3,263.9,2.5,143,247,0,                                        ,mean of solar longitude=258-270 degree                                                                                                                ,T   ,017_NTA3.csv          ,"12) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
129,18,2,AND,1,23/08/2015,Andromedids                             ,2010/13 ,213,235,223,20.7,28,1,0.37,18.2,29.8,166.8,17.85,77.45,251.69,  M   1,2.99,0.759,0.742,243.7,222.5,9.4,39,0,0,3D/Biela                                ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
130,18,4,AND,1,16/11/2022,Andromedids                             , annual ,211.806,258.113,231.1,21.7,33.5,0.14,0.78,17.2,32.96,161.86,22.57,73.29,246.38,       ,3.024,0.798,0.736,236.5,231.1,10.5,227,0,0,                                        ,                                                                                                                                                      ,T   ,018_AND.csv           ,"5) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
133,19,2,MON,1,2008-mm-dd,December Monocerotids                   ,2002/06 ,252,264,261.5,102.6,8.1,0.63,-0.11,41.5,102.91,201.41,-14.78,110.67,285.82,       ,22.3,0.194,0.9913,127.9,81.3,34.4,138,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
135,19,4,MON,1,2010-mm-dd,December Monocerotids                   ,2002/08 ,257,266,261,102.3,8.6,0.69,-0.24,40.6,102.55,201.55,-14.3,110.85,285.33,       ,8.88,0.1936,0.978,128.65,81,32.4,1598,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
136,19,5,MON,1,23/08/2015,December Monocerotids                   ,2010/13 ,246,275,261,102.9,7.8,0.97,-0.09,41.4,103.24,202.24,-15.05,111.44,286.2,  M   1,8.2,0.191,0.983,128.7,78.5,35.2,249,0,0,C/1917 F1 (Mellish)                     ,                                                                                                                                                      ,T   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
137,19,7,MON,1,01/05/2023,December Monocerotids                   , annual ,246.38,269.17,258.99,101,8.1,0.67,-0.13,41.4,101.27,202.28,-14.91,111.49,286.05,       ,11.6,0.189,0.984,129.1,79,35.3,606,0,0,C/1917 F1 (Mellish)                     ,                                                                                                                                                      ,T   ,019MON_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
143,20,6,COM,1,1966-mm-dd,Comae Berenicids                        ,1959/60 ,       ,       ,261.7,163.69,29.87,       ,       ,63.02,153.14,251.44,21.1,152.18,219.52,RR     ,3.76,0.71,0.81,249.01,261.69,138,9,0,0,                                        ,"In Kashcheev..1967, p. 171, Tab 4.8 the shower is designated as No193, no name is given                                                               ",R   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/1967SCoA...11..183K' target=_blank>Kashcheev & Lebedinets, 1967</A>"
144,20,8,COM,1,23/08/2015,Comae Berenicids                        ,2010/13 ,252,302,274,167,28,0.96,-0.39,63.3,156.79,242.79,20.59,146.35,230.59,  M   1,8.58,0.557,0.962,263.5,272.2,135.3,497,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"9] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
145,20,9,COM,1,01/05/2023,Comae Berenicids                        , annual ,245.98,326.34,273.15,165.8,28.4,0.87,-0.43,63.5,155.58,242.43,20.52,146.12,231.04,       ,19.7,0.558,0.972,263.1,273.2,135.1,1259,0,0,                                        ,                                                                                                                                                      ,T   ,020COM_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
146,21,0,AVB,1,1971-mm-dd,alpha-Virginids                         , annual ,       ,       ,28.9,195.65,-5.13,       ,       ,20,196.39,167.49,1.42,77.49,268.55,R      ,2.349,0.753,0.663,247.5,28.6,0.71,19,0,0,                                        ,"In Lindblad 1971b the shower is named sigma-Leonids (Tab. 2a, 2b  No 8)                                                                               ",P   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/1971SCoA...12...14L' target=_blank>Lindblad, 1971b</A>"
150,21,4,AVB,1,18/05/2015,alpha-Virginids                         ,2010/15 ,25,37,32,203.5,2.9,0.91,-0.36,18.8,200.65,168.65,11.82,78.9,257.95,  M   1,2.55,0.744,0.716,247.9,30,7,12,0,0,1998 SH2?                               ,                                                                                                                                                      ,T   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
