Last Update: 2024-10-04 22:10 UTC
            Object         |    Diameter    |             VI Max                                   |          VIs                  |
 Num/des.       Name       |   m  |   *=Y   |      Date/Time   |  IP max  | PS max |TS  | Vel km/s | Years     | IP cum   | PS cum |
AAAAAAAAA AAAAAAAAAAAAAAAA | NNNN |    A    | YYYY-MM-DD HH:MM | EEEEEEEE | NNN.NN | NN |  NNN.NN  | YYYY-YYYY | EEEEEEEE | NNN.NN |
2020KN2                    |   20 |    *    | 2063-06-08 09:04 |  3.14E-5 |  -5.10 |  0 |   13.67  | 2063-2122 |  3.35E-5 |  -5.08 |
2020UE                     |   29 |    *    | 2063-10-16 13:53 |  8.58E-6 |  -5.10 |  0 |   18.36  | 2042-2120 |  2.61E-5 |  -4.72 |
2023EB                     |   22 |    *    | 2074-02-18 05:01 |  3.43E-5 |  -5.12 |  0 |   13.40  | 2053-2123 |  1.12E-4 |  -4.65 |
2010GH7                    |    8 |         | 2106-04-02 06:22 |  2.34E-4 |  -5.12 |  0 |   12.26  | 2104-2123 |  5.77E-4 |  -4.75 |
2023FX13                   |   28 |    *    | 2077-04-10 04:35 |  1.30E-5 |  -5.13 |  0 |   16.89  | 2071-2085 |  2.03E-5 |  -4.93 |
2017GG8                    |   22 |    *    | 2066-03-31 12:16 |  2.22E-5 |  -5.13 |  0 |   16.01  | 2066-2078 |  2.48E-5 |  -5.09 |
2018JN                     |   40 |    *    | 2120-04-24 04:02 |  2.12E-5 |  -5.14 |  0 |   13.61  | 2100-2120 |  2.50E-5 |  -5.05 |
2022WE5                    |   11 |    *    | 2088-12-02 11:23 |  2.15E-4 |  -5.14 |  0 |   13.81  | 2084-2120 |  2.19E-4 |  -5.13 |
2018EV3                    |   14 |    *    | 2121-03-06 02:35 |  1.41E-4 |  -5.15 |  0 |   16.83  | 2081-2121 |  1.45E-4 |  -5.14 |
2010DG77                   |  315 |         | 2066-01-05 21:49 |  4.98E-9 |  -5.16 |  0 |   19.18  | 2066-2066 |  4.98E-9 |  -5.16 |
2017OE7                    |   20 |    *    | 2114-08-23 12:01 |  8.50E-5 |  -5.16 |  0 |   11.98  | 2114-2114 |  8.50E-5 |  -5.16 |
2014JR24                   |    5 |    *    | 2069-05-01 22:19 |  1.24E-3 |  -5.16 |  0 |   11.78  | 2069-2121 |  1.39E-3 |  -5.12 |
2022OH2                    |   12 |    *    | 2097-08-03 22:41 |  2.44E-4 |  -5.17 |  0 |   11.75  | 2088-2121 |  5.67E-4 |  -4.80 |
2006JE                     |   60 |    *    | 2106-05-02 07:20 |  1.24E-6 |  -5.17 |  0 |   28.65  | 2094-2106 |  1.30E-6 |  -5.15 |
2009WP6                    |   16 |    *    | 2074-11-16 09:56 |  2.11E-5 |  -5.17 |  0 |   27.70  | 2067-2120 |  4.25E-5 |  -4.91 |
2011MX                     |   14 |    *    | 2081-06-19 08:11 |  6.24E-5 |  -5.17 |  0 |   16.51  | 2070-2092 |  1.25E-4 |  -4.87 |
2017RV2                    |   20 |    *    | 2094-09-10 07:27 |  5.50E-5 |  -5.17 |  0 |   12.92  | 2082-2121 |  1.66E-4 |  -4.74 |
2011OB26                   |   29 |    *    | 2115-08-11 23:18 |  2.16E-5 |  -5.19 |  0 |   15.67  | 2094-2121 |  5.41E-5 |  -4.77 |
